7zip 24.09-3
libpackagekit-glib 1.3.0-2
libpagemaker 0.0.4-4
libpamac-nosnap 1:11.6.4-1
libpaper 2.2.6-1
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpeas 1.36.0-7
libpgm 5.3.128-3
libphonenumber 1:9.0.1-1
libpipeline 1.5.8-1
libpipewire 1:1.4.1-1
libplacebo 7.349.0-6
libplist 2.6.0-2
libpng 1.6.47-1
libportal 0.9.1-1
libportal-gtk3 0.9.1-1
libportal-gtk4 0.9.1-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libpwquality 1.4.5-6
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.5.2-1
libqmi 1.34.0-2
libqrtr-glib 1.2.2-3
libquotient 0.9.3-1
libqxp 0.0.2-13
libraqm 0.10.2-1
libraw 0.21.3-1
